ID,Line_ID,Stage,Name,Type_Primary,Type_Secondary,Type_Tertiary,Background_Key,Rarity,Floor_Found,Encounter_Type,Evolves_From,Evolves_To,Evolve_Level,Grade_Offense,Grade_Defense,Grade_Utility,Grade_Speed,Description,Image_Prompt,Image_Path,Home_Zone,Art_Status,BG_Status,Option_Slots
DFMC-001,THORNBACK,1,Bristle,Beast,,,"Green (0,255,0)",Common,1;11;21;32,Outdoors,,DFMC-002,24,7,7,4,2,"A boar-like quadruped with a bony snout plate, multiple eyes, bat ears, and disproportionate legs.","The infant form of a dark-fantasy boar: a piglet-sized quadruped with a small bony nub on the snout, two small tusks just showing, six small eyes in two vertical rows on each side, oversized bat-ears, disproportionate mismatched legs and bristly dark hide — young and menacing. As a Beast creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture. On a plain flat pure-white seamless backdrop, just the creature and nothing else. Full body, seen from a three-quarter angle, NOT looking at the camera. The creature occupies only the CENTER 70% of the frame with generous empty background on all sides — nothing even close to any edge. Richly saturated vivid colors, dramatic dark-fantasy rim lighting with deep shadows, moody painterly rendering, NOT washed out, NOT overexposed, one single cohesive creature, no text, no props, no scenery, no floating or detached parts.",codex/images/DFMC-001.png,Grasslands,approved,has_chroma,AB
DFMC-002,THORNBACK,2,Thornhide,Beast,,,"White (255,255,255)",Common,34;44;54;65,Cave,DFMC-001,DFMC-003,56,7,7,4,2,"A boar-like quadruped with a bony snout plate, multiple eyes, bat ears, and disproportionate legs.","A stocky boar-like quadruped built wrong in several ways: an elongated snout ending in a hard bony plate instead of a soft nose, a jutting lower jaw with four upward-curving tusks of uneven length, long pointed bat-like ears pinned flat against the skull, six small eyes in two vertical rows on each side of the head, thick leathery grey-brown hide in deep folds at the joints with pale bone-coloured scarring, back legs disproportionately longer than the front giving a permanent downhill slouch, and a short muscular tail ending in a bony club. As a Beast creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture. On a plain flat pure-white seamless backdrop, just the creature and nothing else. Full body in a natural combat-ready stance facing an opponent, seen from a three-quarter angle, NOT looking at the camera, facing toward the left. The creature occupies only the CENTER 70% of the frame with generous empty background on all sides — nothing even close to any edge. Richly saturated vivid colors, dramatic dark-fantasy rim lighting with deep shadows, moody painterly rendering, NOT washed out, NOT overexposed, one single cohesive creature, no text, no props, no scenery, no floating or detached parts.",codex/images/DFMC-002.png,Grasslands,pending,bg_pending,AB
DFMC-003,THORNBACK,3,Thornback,Beast,,,"Green (0,255,0)",Common,67;77;87;98,Fishing,DFMC-002,,,7,7,4,2,"A boar-like quadruped with a bony snout plate, multiple eyes, bat ears, and disproportionate legs.","The massive battle-scarred final form of a dark-fantasy boar, a hulking bull-sized quadruped: an elongated snout ending in a heavy scarred bony plate, the lower jaw jutting forward with six upward-curving tusks of uneven length, six eyes in two vertical rows on each side, huge tattered bat-ears, heavy disproportionate mismatched legs, coarse bristled dark hide over slabbed muscle. As a Beast creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture. On a plain flat pure-white seamless backdrop, just the creature and nothing else. Full body, seen from a three-quarter angle, NOT looking at the camera. The creature occupies only the CENTER 70% of the frame with generous empty background on all sides — nothing even close to any edge. Richly saturated vivid colors, dramatic dark-fantasy rim lighting with deep shadows, moody painterly rendering, NOT washed out, NOT overexposed, one single cohesive creature, no text, no props, no scenery, no floating or detached parts.",codex/images/DFMC-003.png,Grasslands,approved,has_chroma,A
DFMC-004,DUSTHOUND,1,Whelp,Beast,,,"Green (0,255,0)",Common,1;11;22;32,Outdoors,,DFMC-005,25,7,3,3,7,Lean prairie canine that kicks up choking dust.,"Photorealistic dark fantasy creature render, flat solid chroma green (0,255,0) color fill covering 100% of the frame, no ground plane, no floor, no shadow, no vignette, studio product photography lighting — a small wrong-boned wolf pup, hind legs bending backward at a second insectile knee joint giving it a low scuttling stance, lower jaw split into two independent mandible-like halves instead of a single jaw, patchy grey fur, oversized pale eyes, painterly detailed style As a Beast creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture.",codex/images/creatures/whelp.png,Grasslands,approved,bg_approved,A
DFMC-005,DUSTHOUND,2,Dustcur,Beast,,,"Charcoal (20,20,20)",Common,34;44;55;65,Cave,DFMC-004,DFMC-006,57,7,3,3,7,Lean prairie canine that kicks up choking dust.,"A lean rangy prairie canine in dust-tan and ash-grey fur, deeply wrong: elongated backward-bending hind legs standing taller than the forelegs and tilting it low and forward, a lower jaw split lengthwise into two mandible-halves lined with needle teeth, raised hackles, and choking dust kicking up around its paws. As a Beast creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture. On a plain flat dark charcoal #141414 seamless backdrop, just the creature and nothing else. Full body, seen from a three-quarter angle, NOT looking at the camera. The creature occupies only the CENTER 70% of the frame with generous empty background on all sides — nothing even close to any edge. Richly saturated vivid colors, dramatic dark-fantasy rim lighting with deep shadows, moody painterly rendering, NOT washed out, NOT overexposed, one single cohesive creature, no text, no props, no scenery, no floating or detached parts.",codex/images/DFMC-005.png,Grasslands,pending,has_chroma,A
DFMC-006,DUSTHOUND,3,Dusthound,Beast,,,"Green (0,255,0)",Common,67;77;88;98,Cave,DFMC-005,,,7,3,3,7,Lean prairie canine that kicks up choking dust.,"Photorealistic dark fantasy creature render, flat solid chroma green (0,255,0) color fill covering 100% of the frame, no ground plane, no floor, no shadow, no vignette, studio product photography lighting — a massive alpha wolf with fully developed insectile hind legs bent backward at a second joint, lower jaw split into two independent mandible-like halves lined with teeth, a full ridge of exposed vertebral spikes down its spine, a second smaller vestigial head fused at the base of its neck with eyes shut, dominant towering stance, painterly detailed horror bestiary style As a Beast creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture.",codex/images/creatures/warden.png,Grasslands,approved,bg_approved,A
DFMC-007,BARROWMOLE,1,Grub,Beast,,,"White (255,255,255)",Common,1;12;22;32,Outdoors,,DFMC-008,26,3,8,6,3,Burrowing mound-builder with a spade-clawed snout.,"A fresh painterly dark-fantasy illustration of the very same creature shown in the reference image, as its INFANT stage: a small young burrowing mound-builder in the same raw pink-grey wrinkled skin as the reference, a soft juvenile with sealed eyes, a small underdeveloped keratin spade-snout ringed by short sensory tendrils, tiny digging claws, and only faint horn-plate ridges — clearly a juvenile of the reference creature. As a Beast creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture. On a plain flat pure-white seamless backdrop, just the creature and nothing else. Full body in a natural combat-ready stance facing an opponent, seen from a three-quarter angle, NOT looking at the camera, facing toward the left. The creature occupies only the CENTER 70% of the frame with generous empty background on all sides. Richly saturated vivid colors, dramatic dark-fantasy rim lighting with deep shadows, moody painterly rendering, NOT washed out, one single cohesive creature, no text, no props, no scenery, no floating or detached parts.",codex/images/DFMC-007.png,Grasslands,pending,bg_approved,A
DFMC-008,BARROWMOLE,2,Delver,Beast,,,"Charcoal (20,20,20)",Common,34;45;55;65,Cave,DFMC-007,DFMC-009,58,3,8,6,3,Burrowing mound-builder with a spade-clawed snout.,"A heavyset hairless burrower with raw pink-grey wrinkled skin and bone-white callouses, but deeply wrong: its eyes are sealed beneath the skin, the snout ends in a hard keratin spade ringed by a star of fleshy sensory tendrils, each massive forelimb carries three flat digging claws as long as the head, the hind legs are tiny and vestigial, and a row of overlapping horn plates runs down its back to a coiled fat tail. As a Beast creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture. On a solid flat dark charcoal (#141414) background, just the creature and nothing else. Full body in a combat-ready stance, seen from a three-quarter angle, NOT looking at the camera. The creature occupies only the center 70% of the frame with generous empty background margin on all sides — nothing even close to any edge. Painterly dark-fantasy illustration, dramatic rim lighting with clear mid-key exposure, vivid readable colors, one single cohesive creature, no text, no props, no scenery, no floating or detached parts.",codex/images/DFMC-008.png,Grasslands,approved,bg_approved,A
DFMC-009,BARROWMOLE,3,Barrowmole,Beast,,,"White (255,255,255)",Common,67;78;88;98,Fishing,DFMC-008,,,3,8,6,3,Burrowing mound-builder with a spade-clawed snout.,"A fresh painterly dark-fantasy illustration of the very same creature shown in the reference image, evolved into its FINAL form: a MASSIVE burrowing mound-builder, VASTLY larger and more armored than the reference, the keratin spade-snout enormous and battle-scarred, the star of sensory tendrils longer and thicker, each forelimb bearing huge digging claws longer than its head, heavy overlapping horn-plate armor running the full back, EVERY feature exaggerated — same materials and palette as the reference. As a Beast creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture. On a plain flat pure-white seamless backdrop, just the creature and nothing else. Full body in a natural combat-ready stance facing an opponent, seen from a three-quarter angle, NOT looking at the camera, facing toward the left. The creature occupies only the CENTER 70% of the frame with generous empty background on all sides. Richly saturated vivid colors, dramatic dark-fantasy rim lighting with deep shadows, moody painterly rendering, NOT washed out, one single cohesive creature, no text, no props, no scenery, no floating or detached parts.",codex/images/DFMC-009.png,Grasslands,pending,bg_approved,A
DFMC-010,BRAMBLEFAWN,1,Fawn,Beast,Flora,,"Magenta (255,0,255)",Common,2;12;22;33,Outdoors,,DFMC-011,27,2,4,7,7,Deer whose antlers are living thorned vines.,"Generated from the Stage 2 reference image: the infant version of this creature on the same chroma magenta background, just the creature and nothing else. As a Beast/Flora creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture; and living plant matter — bark, vines, leaves, blossoms or roots — growing as part of its body.",codex/images/DFMC-010.png,Grasslands,approved,bg_approved,A
